,product_name,price,desciption,description
10,CAMISETA LAVADA MANGA CORTA,"7,95 EUR","['Trabajamos con programas de seguimiento para garantizar el cumplimiento de nuestros estándares sociales, medioambientales y de seguridad y salud de nuestros productos. Para evaluar su cumplimiento hemos desarrollado un programa de auditorías y planes de mejora continua.', '100% algodón', 'Cuidar de tus prendas es cuidar del medioambiente', 'Los lavados a bajas temperaturas y los programas de centrifugado suaves son más delicados con las prendas, ayudando a mantener el color, la forma y la estructura del tejido. Al mismo tiempo, reduce el consumo de energía que se utiliza en los procesos de cuidado.Guía para el cuidado de la ropa', 'Lavar a máquina max. 30ºC. Centrifugado corto', 'No usar lejía / blanqueador', 'Planchar máximo 110ºC', 'No limpieza en seco', 'No usar secadora', 'Trabajamos con nuestros proveedores, trabajadores, sindicatos y organismos internacionales para desarrollar una cadena de suministro en la que se respetan y promueven los derechos humanos, contribuyendo a los Objetivos de Desarrollo Sostenible de Naciones Unidas.Gracias a la colaboración con nuestros proveedores, trabajamos para conocer las instalaciones y procesos que se emplean para fabricar nuestros productos con el objetivo de conocer su trazabilidad.', 'Hecho en Bangladesh']",
11,CAMISETA ETIQUETA DELANTERO,"12,95 EUR","['Trabajamos con programas de seguimiento para garantizar el cumplimiento de nuestros estándares sociales, medioambientales y de seguridad y salud de nuestros productos. Para evaluar su cumplimiento hemos desarrollado un programa de auditorías y planes de mejora continua.', '100% algodón', 'Cuidar de tus prendas es cuidar del medioambiente', 'Los lavados a bajas temperaturas y los programas de centrifugado suaves son más delicados con las prendas, ayudando a mantener el color, la forma y la estructura del tejido. Al mismo tiempo, reduce el consumo de energía que se utiliza en los procesos de cuidado.Guía para el cuidado de la ropa', 'Lavar a máquina max. 30ºC. Centrifugado corto', 'No usar lejía / blanqueador', 'Planchar máximo 110ºC', 'No limpieza en seco', 'No usar secadora', 'Trabajamos con nuestros proveedores, trabajadores, sindicatos y organismos internacionales para desarrollar una cadena de suministro en la que se respetan y promueven los derechos humanos, contribuyendo a los Objetivos de Desarrollo Sostenible de Naciones Unidas.Gracias a la colaboración con nuestros proveedores, trabajamos para conocer las instalaciones y procesos que se emplean para fabricar nuestros productos con el objetivo de conocer su trazabilidad.', 'Hecho en Turquía']",
12,CAMISETA LAVADA ETIQUETA,"17,95 EUR","['Trabajamos con programas de seguimiento para garantizar el cumplimiento de nuestros estándares sociales, medioambientales y de seguridad y salud de nuestros productos. Para evaluar su cumplimiento hemos desarrollado un programa de auditorías y planes de mejora continua.', '100% algodón', 'Cuidar de tus prendas es cuidar del medioambiente', 'Los lavados a bajas temperaturas y los programas de centrifugado suaves son más delicados con las prendas, ayudando a mantener el color, la forma y la estructura del tejido. Al mismo tiempo, reduce el consumo de energía que se utiliza en los procesos de cuidado.Guía para el cuidado de la ropa', 'Lavar a máquina max. 30ºC. Centrifugado corto', 'No usar lejía / blanqueador', 'Planchar máximo 110ºC', 'No limpieza en seco', 'No usar secadora', 'Trabajamos con nuestros proveedores, trabajadores, sindicatos y organismos internacionales para desarrollar una cadena de suministro en la que se respetan y promueven los derechos humanos, contribuyendo a los Objetivos de Desarrollo Sostenible de Naciones Unidas.Gracias a la colaboración con nuestros proveedores, trabajamos para conocer las instalaciones y procesos que se emplean para fabricar nuestros productos con el objetivo de conocer su trazabilidad.', 'Hecho en Turquía']",
13,CAMISETA METALIZADA,"12,95 EUR","['Trabajamos con programas de seguimiento para garantizar el cumplimiento de nuestros estándares sociales, medioambientales y de seguridad y salud de nuestros productos. Para evaluar su cumplimiento hemos desarrollado un programa de auditorías y planes de mejora continua.', '100% algodón', '97% algodón3% elastano', 'Cuidar de tus prendas es cuidar del medioambiente', 'Los lavados a bajas temperaturas y los programas de centrifugado suaves son más delicados con las prendas, ayudando a mantener el color, la forma y la estructura del tejido. Al mismo tiempo, reduce el consumo de energía que se utiliza en los procesos de cuidado.Guía para el cuidado de la ropa', 'Lavar a máquina max. 30ºC. Centrifugado corto', 'No usar lejía / blanqueador', 'Planchar máximo 110ºC', 'No limpieza en seco', 'No usar secadora', 'Lavar al revés', 'Planchar al revés', 'Trabajamos con nuestros proveedores, trabajadores, sindicatos y organismos internacionales para desarrollar una cadena de suministro en la que se respetan y promueven los derechos humanos, contribuyendo a los Objetivos de Desarrollo Sostenible de Naciones Unidas.Gracias a la colaboración con nuestros proveedores, trabajamos para conocer las instalaciones y procesos que se emplean para fabricar nuestros productos con el objetivo de conocer su trazabilidad.', 'Hecho en Marruecos']",
14,CAMISETA ALGODÓN MANGA SISA,"8,95 EUR","['Trabajamos con programas de seguimiento para garantizar el cumplimiento de nuestros estándares sociales, medioambientales y de seguridad y salud de nuestros productos. Para evaluar su cumplimiento hemos desarrollado un programa de auditorías y planes de mejora continua.', '100% algodón', 'Que contiene al menos:', '100% algodón de cultivo orgánico certificado OCS', 'Esta fibra se produce sin utilizar fertilizantes ni pesticidas artificiales y se cultiva a partir de semillas que no han sido modificadas genéticamente. Actualmente trabajamos con el Organic Content Standard (OCS) que supervisa el proceso desde el origen hasta el producto final.', 'Certificado por Intertek 193341', 'Más información', 'Cuidar de tus prendas es cuidar del medioambiente', 'Los lavados a bajas temperaturas y los programas de centrifugado suaves son más delicados con las prendas, ayudando a mantener el color, la forma y la estructura del tejido. Al mismo tiempo, reduce el consumo de energía que se utiliza en los procesos de cuidado.Guía para el cuidado de la ropa', 'Lavar a máquina max. 40ºC centrifugado corto', 'No usar lejía / blanqueador', 'Planchar máximo 150 º C', 'Lim.Seco tetracloroetileno', 'No usar secadora', 'Trabajamos con nuestros proveedores, trabajadores, sindicatos y organismos internacionales para desarrollar una cadena de suministro en la que se respetan y promueven los derechos humanos, contribuyendo a los Objetivos de Desarrollo Sostenible de Naciones Unidas.Gracias a la colaboración con nuestros proveedores, trabajamos para conocer las instalaciones y procesos que se emplean para fabricar nuestros productos con el objetivo de conocer su trazabilidad.', 'Hecho en Bangladesh']",
15,CAMISETA HEAVY COTTON,"12,95 EUR","['Trabajamos con programas de seguimiento para garantizar el cumplimiento de nuestros estándares sociales, medioambientales y de seguridad y salud de nuestros productos. Para evaluar su cumplimiento hemos desarrollado un programa de auditorías y planes de mejora continua.', '100% algodón', 'Que contiene al menos:', '100% algodón de cultivo orgánico certificado OCS', 'Esta fibra se produce sin utilizar fertilizantes ni pesticidas artificiales y se cultiva a partir de semillas que no han sido modificadas genéticamente. Actualmente trabajamos con el Organic Content Standard (OCS) que supervisa el proceso desde el origen hasta el producto final.', 'Certificado por Intertek 193341', 'Más información', 'Cuidar de tus prendas es cuidar del medioambiente', 'Los lavados a bajas temperaturas y los programas de centrifugado suaves son más delicados con las prendas, ayudando a mantener el color, la forma y la estructura del tejido. Al mismo tiempo, reduce el consumo de energía que se utiliza en los procesos de cuidado.Guía para el cuidado de la ropa', 'Lavar a máquina max. 30ºC. Centrifugado corto', 'No usar lejía / blanqueador', 'Planchar máximo 110ºC', 'Lim.Seco tetracloroetileno', 'No usar secadora', 'Trabajamos con nuestros proveedores, trabajadores, sindicatos y organismos internacionales para desarrollar una cadena de suministro en la que se respetan y promueven los derechos humanos, contribuyendo a los Objetivos de Desarrollo Sostenible de Naciones Unidas.Gracias a la colaboración con nuestros proveedores, trabajamos para conocer las instalaciones y procesos que se emplean para fabricar nuestros productos con el objetivo de conocer su trazabilidad.', 'Hecho en Bangladesh']",
16,CAMISETA MANGA CORTA,"17,95 EUR","['Trabajamos con programas de seguimiento para garantizar el cumplimiento de nuestros estándares sociales, medioambientales y de seguridad y salud de nuestros productos. Para evaluar su cumplimiento hemos desarrollado un programa de auditorías y planes de mejora continua.', '100% algodón', 'Cuidar de tus prendas es cuidar del medioambiente.', 'Lava tus prendas sólo cuando sea necesario, a veces es suficiente con ventilarlas. Los procesos de lavado desgastan poco a poco los tejidos, reduciéndo los lavados alargamos la vida de nuestras prendas y reducimos el consumo de agua y energía en procesos de cuidado.Guía para el cuidado de la ropa', 'Lavar a mano max 30ºC', 'No usar lejía / blanqueador', 'Planchar máximo 110ºC', 'No limpieza en seco', 'No usar secadora', 'Trabajamos con nuestros proveedores, trabajadores, sindicatos y organismos internacionales para desarrollar una cadena de suministro en la que se respetan y promueven los derechos humanos, contribuyendo a los Objetivos de Desarrollo Sostenible de Naciones Unidas.Gracias a la colaboración con nuestros proveedores, trabajamos para conocer las instalaciones y procesos que se emplean para fabricar nuestros productos con el objetivo de conocer su trazabilidad.Esta prenda se ha producido en los siguientes orígenes:', 'Hecho en Portugal', 'Hecho en Marruecos']",
17,CAMISETA MEZCLA ALGODÓN CON LINO,"17,95 EUR","['Trabajamos con programas de seguimiento para garantizar el cumplimiento de nuestros estándares sociales, medioambientales y de seguridad y salud de nuestros productos. Para evaluar su cumplimiento hemos desarrollado un programa de auditorías y planes de mejora continua.', '70% algodón30% lino', 'Cuidar de tus prendas es cuidar del medioambiente', 'Los lavados a bajas temperaturas y los programas de centrifugado suaves son más delicados con las prendas, ayudando a mantener el color, la forma y la estructura del tejido. Al mismo tiempo, reduce el consumo de energía que se utiliza en los procesos de cuidado.Guía para el cuidado de la ropa', 'Lavar a máquina max. 30ºC. Centrifugado corto', 'No usar lejía / blanqueador', 'Planchar máximo 110ºC', 'No limpieza en seco', 'No usar secadora', 'Trabajamos con nuestros proveedores, trabajadores, sindicatos y organismos internacionales para desarrollar una cadena de suministro en la que se respetan y promueven los derechos humanos, contribuyendo a los Objetivos de Desarrollo Sostenible de Naciones Unidas.Gracias a la colaboración con nuestros proveedores, trabajamos para conocer las instalaciones y procesos que se emplean para fabricar nuestros productos con el objetivo de conocer su trazabilidad.', 'Hecho en Portugal']",
18,CAMISETA MEZCLA ALGODÓN CON LINO,"17,95 EUR","['Trabajamos con programas de seguimiento para garantizar el cumplimiento de nuestros estándares sociales, medioambientales y de seguridad y salud de nuestros productos. Para evaluar su cumplimiento hemos desarrollado un programa de auditorías y planes de mejora continua.', '70% algodón30% lino', 'Cuidar de tus prendas es cuidar del medioambiente', 'Los lavados a bajas temperaturas y los programas de centrifugado suaves son más delicados con las prendas, ayudando a mantener el color, la forma y la estructura del tejido. Al mismo tiempo, reduce el consumo de energía que se utiliza en los procesos de cuidado.Guía para el cuidado de la ropa', 'Lavar a máquina max. 30ºC. Centrifugado corto', 'No usar lejía / blanqueador', 'Planchar máximo 110ºC', 'No limpieza en seco', 'No usar secadora', 'Trabajamos con nuestros proveedores, trabajadores, sindicatos y organismos internacionales para desarrollar una cadena de suministro en la que se respetan y promueven los derechos humanos, contribuyendo a los Objetivos de Desarrollo Sostenible de Naciones Unidas.Gracias a la colaboración con nuestros proveedores, trabajamos para conocer las instalaciones y procesos que se emplean para fabricar nuestros productos con el objetivo de conocer su trazabilidad.', 'Hecho en Portugal']",
19,CAMISETA MEZCLA ALGODÓN CON LINO,"17,95 EUR","['Trabajamos con programas de seguimiento para garantizar el cumplimiento de nuestros estándares sociales, medioambientales y de seguridad y salud de nuestros productos. Para evaluar su cumplimiento hemos desarrollado un programa de auditorías y planes de mejora continua.', '70% algodón30% lino', 'Cuidar de tus prendas es cuidar del medioambiente', 'Los lavados a bajas temperaturas y los programas de centrifugado suaves son más delicados con las prendas, ayudando a mantener el color, la forma y la estructura del tejido. Al mismo tiempo, reduce el consumo de energía que se utiliza en los procesos de cuidado.Guía para el cuidado de la ropa', 'Lavar a máquina max. 30ºC. Centrifugado corto', 'No usar lejía / blanqueador', 'Planchar máximo 110ºC', 'No limpieza en seco', 'No usar secadora', 'Trabajamos con nuestros proveedores, trabajadores, sindicatos y organismos internacionales para desarrollar una cadena de suministro en la que se respetan y promueven los derechos humanos, contribuyendo a los Objetivos de Desarrollo Sostenible de Naciones Unidas.Gracias a la colaboración con nuestros proveedores, trabajamos para conocer las instalaciones y procesos que se emplean para fabricar nuestros productos con el objetivo de conocer su trazabilidad.', 'Hecho en Portugal']",
20,CAMISETA ESTAMPACIÓN CONTRASTE,"17,95 EUR","['Trabajamos con programas de seguimiento para garantizar el cumplimiento de nuestros estándares sociales, medioambientales y de seguridad y salud de nuestros productos. Para evaluar su cumplimiento hemos desarrollado un programa de auditorías y planes de mejora continua.', '100% algodón', 'Cuidar de tus prendas es cuidar del medioambiente', 'Los lavados a bajas temperaturas y los programas de centrifugado suaves son más delicados con las prendas, ayudando a mantener el color, la forma y la estructura del tejido. Al mismo tiempo, reduce el consumo de energía que se utiliza en los procesos de cuidado.Guía para el cuidado de la ropa', 'Lavar a máquina max. 30ºC. Centrifugado corto', 'No usar lejía / blanqueador', 'Planchar máximo 110ºC', 'No limpieza en seco', 'No usar secadora', 'Trabajamos con nuestros proveedores, trabajadores, sindicatos y organismos internacionales para desarrollar una cadena de suministro en la que se respetan y promueven los derechos humanos, contribuyendo a los Objetivos de Desarrollo Sostenible de Naciones Unidas.Gracias a la colaboración con nuestros proveedores, trabajamos para conocer las instalaciones y procesos que se emplean para fabricar nuestros productos con el objetivo de conocer su trazabilidad.', 'Hecho en Turquía']",
21,CAMISETA LAVADA MANGA CORTA,"7,95 EUR","['Trabajamos con programas de seguimiento para garantizar el cumplimiento de nuestros estándares sociales, medioambientales y de seguridad y salud de nuestros productos. Para evaluar su cumplimiento hemos desarrollado un programa de auditorías y planes de mejora continua.', '100% algodón', 'Cuidar de tus prendas es cuidar del medioambiente', 'Los lavados a bajas temperaturas y los programas de centrifugado suaves son más delicados con las prendas, ayudando a mantener el color, la forma y la estructura del tejido. Al mismo tiempo, reduce el consumo de energía que se utiliza en los procesos de cuidado.Guía para el cuidado de la ropa', 'Lavar a máquina max. 30ºC. Centrifugado corto', 'No usar lejía / blanqueador', 'Planchar máximo 110ºC', 'No limpieza en seco', 'No usar secadora', 'Trabajamos con nuestros proveedores, trabajadores, sindicatos y organismos internacionales para desarrollar una cadena de suministro en la que se respetan y promueven los derechos humanos, contribuyendo a los Objetivos de Desarrollo Sostenible de Naciones Unidas.Gracias a la colaboración con nuestros proveedores, trabajamos para conocer las instalaciones y procesos que se emplean para fabricar nuestros productos con el objetivo de conocer su trazabilidad.', 'Hecho en Bangladesh']",
22,CAMISETA LAVADA MANGA CORTA,"7,95 EUR","['Trabajamos con programas de seguimiento para garantizar el cumplimiento de nuestros estándares sociales, medioambientales y de seguridad y salud de nuestros productos. Para evaluar su cumplimiento hemos desarrollado un programa de auditorías y planes de mejora continua.', '100% algodón', 'Cuidar de tus prendas es cuidar del medioambiente', 'Los lavados a bajas temperaturas y los programas de centrifugado suaves son más delicados con las prendas, ayudando a mantener el color, la forma y la estructura del tejido. Al mismo tiempo, reduce el consumo de energía que se utiliza en los procesos de cuidado.Guía para el cuidado de la ropa', 'Lavar a máquina max. 30ºC. Centrifugado corto', 'No usar lejía / blanqueador', 'Planchar máximo 110ºC', 'No limpieza en seco', 'No usar secadora', 'Trabajamos con nuestros proveedores, trabajadores, sindicatos y organismos internacionales para desarrollar una cadena de suministro en la que se respetan y promueven los derechos humanos, contribuyendo a los Objetivos de Desarrollo Sostenible de Naciones Unidas.Gracias a la colaboración con nuestros proveedores, trabajamos para conocer las instalaciones y procesos que se emplean para fabricar nuestros productos con el objetivo de conocer su trazabilidad.', 'Hecho en Bangladesh']",
